month,resale_price
2020-01-01,397387.21014492755
2020-02-01,385627.3274336283
2020-03-01,402966.1085271318
2020-04-01,427237.5
2020-05-01,456209.77777777775
2020-06-01,393080.9090909091
2020-07-01,404325.5135135135
2020-08-01,405964.50344827585
2020-09-01,428335.5816993464
2020-10-01,431267.8
2020-11-01,425844.11188811186
2020-12-01,450425.9
2021-01-01,436168.9929078014
2021-02-01,428033.76666666666
2021-03-01,435350.234375
2021-04-01,457329.94782608695
2021-05-01,449890.96
2021-06-01,461385.13333333336
2021-07-01,442865.71532846714
2021-08-01,450625.66233766236
2021-09-01,473098.1818181818
2021-10-01,482168.76258992805
2021-11-01,490116.5283018868
2021-12-01,469658.5925925926
2022-01-01,464367.69648275856
2022-02-01,503264.13675213675
2022-03-01,491862.73504273506
2022-04-01,497693.3237410072
2022-05-01,507334.0134228188
2022-06-01,472449.33561643836
2022-07-01,500769.54744525545
2022-08-01,514940.2962962963
2022-09-01,509120.5283018868
2022-10-01,510628.17741935485
2022-11-01,516751.89361702127
2022-12-01,505765.2534246575
2023-01-01,509621.6666666667
2023-02-01,505138.8461538461
2023-03-01,505468.0333333333
2023-04-01,526602.7716535433
2023-05-01,512723.51851851854
2023-06-01,513278.45871559635
2023-07-01,520382.12587412586
2023-08-01,527010.0952380953
2023-09-01,508702.2013422819
2023-10-01,486392.24242424243
2023-11-01,501762.6419047619
2023-12-01,502255.97202797205
2024-01-01,513222.1030927835
2024-02-01,513218.2909090909
2024-03-01,534041.0797546012
2024-04-01,510221.70454545453
2024-05-01,524582.3818181818
2024-06-01,530256.992481203
2024-07-01,515969.5221238938
2024-08-01,547324.4857142858
2024-09-01,546613.729032258
2024-10-01,541703.2492682927
2024-11-01,564533.7642424242
2024-12-01,560601.277027027
2025-01-01,565023.8707482993
2025-02-01,524550.4375
